domain,profile,caseID,eventID,modelID,estimateStage,motionMode,sampleCount,positionRMSEMeters,positionMedianErrorMeters,positionP95ErrorMeters,velocityRMSEMetersPerSecond,velocityMedianErrorMetersPerSecond,velocityP95ErrorMetersPerSecond
synthetic_canonical,empirical_timing,horizontal_acceleration__empirical_timing,synthetic_canonical::horizontal_acceleration__empirical_timing,ct_ekf,posterior,forward_acceleration,120,3.7187490694278,0.653141372101638,9.2851561287683,1.81666951660336,1.03314415867489,3.86121643854512
synthetic_canonical,empirical_timing,horizontal_acceleration__empirical_timing,synthetic_canonical::horizontal_acceleration__empirical_timing,native_imm,prior,constant_velocity,120,2.00497378691074,0.0422059724881762,3.64929049954766,0.642414160486109,0.00119657776395793,0.171826397692192
synthetic_canonical,empirical_timing,horizontal_acceleration__empirical_timing,synthetic_canonical::horizontal_acceleration__empirical_timing,native_imm,prior,forward_acceleration,120,4.35595521750231,1.22653470284292,10.4789390564702,2.03611371787304,1.40679235840301,4.09116783036452
synthetic_canonical,empirical_timing,horizontal_acceleration__empirical_timing,synthetic_canonical::horizontal_acceleration__empirical_timing,native_imm,posterior,constant_velocity,120,1.34181109070737,0.00577343826286565,2.94168532344702,0.386993675275808,0.000809533793010831,0.07585283598355
synthetic_canonical,empirical_timing,horizontal_acceleration__empirical_timing,synthetic_canonical::horizontal_acceleration__empirical_timing,native_imm,posterior,forward_acceleration,120,3.65105698397643,0.614339014386574,8.91653125898758,1.774810735365,1.0197382206557,3.81311565738634
synthetic_canonical,empirical_timing,horizontal_acceleration__empirical_timing,synthetic_canonical::horizontal_acceleration__empirical_timing,warm_ukf,prior,constant_velocity,120,667.386117882152,20.9733514224594,1383.2715929529,12.3934430462685,10.4070523490824,20.1427172546917
synthetic_canonical,empirical_timing,horizontal_acceleration__empirical_timing,synthetic_canonical::horizontal_acceleration__empirical_timing,warm_ukf,prior,forward_acceleration,120,128.049933067781,15.1041556151699,294.778042771417,13.8033036740568,13.5314878855464,17.9653433567132
synthetic_canonical,empirical_timing,horizontal_acceleration__empirical_timing,synthetic_canonical::horizontal_acceleration__empirical_timing,warm_ukf,posterior,constant_velocity,120,629.090556398903,8.6483461274633,1379.54043844209,12.6001355488458,10.4854245843731,20.879801997705
synthetic_canonical,empirical_timing,horizontal_acceleration__empirical_timing,synthetic_canonical::horizontal_acceleration__empirical_timing,warm_ukf,posterior,forward_acceleration,120,68.7245143795224,8.08862775259381,57.0640992414577,13.751247518038,13.6034897631435,17.7030478033511
synthetic_canonical,degraded,horizontal_acceleration__degraded,synthetic_canonical::horizontal_acceleration__degraded,cv_ekf,prior,constant_velocity,120,48.2058550704393,33.4557093248074,88.0173967612839,5.02722720600132,3.63937623912169,9.87541159261979
synthetic_canonical,degraded,horizontal_acceleration__degraded,synthetic_canonical::horizontal_acceleration__degraded,cv_ekf,prior,forward_acceleration,120,37.5297691008767,30.3733020542378,65.0155898371722,6.80745837061204,6.32307438125083,10.619929342399
synthetic_canonical,degraded,horizontal_acceleration__degraded,synthetic_canonical::horizontal_acceleration__degraded,cv_ekf,posterior,constant_velocity,120,45.1723688738707,29.8871820848792,85.2494627148585,4.88063691339226,3.63624712024847,8.72846538778152
synthetic_canonical,degraded,horizontal_acceleration__degraded,synthetic_canonical::horizontal_acceleration__degraded,cv_ekf,posterior,forward_acceleration,120,35.3646713869349,29.0451892965511,60.084579251721,6.54963243410048,5.95766973851096,10.2293262499899
synthetic_canonical,degraded,horizontal_acceleration__degraded,synthetic_canonical::horizontal_acceleration__degraded,ca_ekf,prior,constant_velocity,120,95.9136786851893,45.2306205455276,244.803485863811,13.5551841657216,9.75843427537843,26.2457675547686
synthetic_canonical,degraded,horizontal_acceleration__degraded,synthetic_canonical::horizontal_acceleration__degraded,ca_ekf,prior,forward_acceleration,120,43.1171240360227,34.9707011003034,79.2946011812079,9.02225838172467,8.14633700365814,13.3721027970428
synthetic_canonical,degraded,horizontal_acceleration__degraded,synthetic_canonical::horizontal_acceleration__degraded,ca_ekf,posterior,constant_velocity,120,89.8021081600282,40.5592017321033,231.945434114937,13.0226185140123,9.37566810641021,25.5769908305729
synthetic_canonical,degraded,horizontal_acceleration__degraded,synthetic_canonical::horizontal_acceleration__degraded,ca_ekf,posterior,forward_acceleration,120,39.5281730885676,31.7667815113053,73.1259149554648,8.52884521421864,7.70875231053107,12.7657342865336
synthetic_canonical,degraded,horizontal_acceleration__degraded,synthetic_canonical::horizontal_acceleration__degraded,ct_ekf,prior,constant_velocity,120,48.3623004782032,33.4556804055086,88.6654505109476,5.05669519562046,3.64438057802108,9.90216506021622
synthetic_canonical,degraded,horizontal_acceleration__degraded,synthetic_canonical::horizontal_acceleration__degraded,ct_ekf,prior,forward_acceleration,120,37.6527387036151,30.5156999279923,65.1970793149818,6.83763499410634,6.33624476982843,10.640194019252
synthetic_canonical,degraded,horizontal_acceleration__degraded,synthetic_canonical::horizontal_acceleration__degraded,ct_ekf,posterior,constant_velocity,120,45.3104933200915,29.8701315667498,86.0589392253154,4.90804744819923,3.64136497855792,8.74043762463015
synthetic_canonical,degraded,horizontal_acceleration__degraded,synthetic_canonical::horizontal_acceleration__degraded,ct_ekf,posterior,forward_acceleration,120,35.4765211855963,29.2709697637167,60.2471156102321,6.5794492747506,5.98112025300872,10.2491310785912
synthetic_canonical,degraded,horizontal_acceleration__degraded,synthetic_canonical::horizontal_acceleration__degraded,native_imm,prior,constant_velocity,120,82.5139638278982,52.7648101492272,163.10922952799,16.5333965720889,11.0545903622045,30.0421614545973
synthetic_canonical,degraded,horizontal_acceleration__degraded,synthetic_canonical::horizontal_acceleration__degraded,native_imm,prior,forward_acceleration,120,52.9007177510955,41.7601124014626,95.2910622186519,14.8300050228849,11.4115422522042,26.4363368301927
synthetic_canonical,degraded,horizontal_acceleration__degraded,synthetic_canonical::horizontal_acceleration__degraded,native_imm,posterior,constant_velocity,120,75.3978569825076,43.6681093783366,156.109591218264,15.3139910688789,10.0142071973927,28.4914188148598
synthetic_canonical,degraded,horizontal_acceleration__degraded,synthetic_canonical::horizontal_acceleration__degraded,native_imm,posterior,forward_acceleration,120,48.4067532662228,37.4188641545287,90.0256398236193,13.9941044691434,10.9688315212187,24.7918067644325
synthetic_canonical,degraded,horizontal_acceleration__degraded,synthetic_canonical::horizontal_acceleration__degraded,warm_ukf,prior,constant_velocity,120,254.679692337663,55.4037824725766,228.051389633662,10.9044714314872,11.4522972737161,14.806337674895
synthetic_canonical,degraded,horizontal_acceleration__degraded,synthetic_canonical::horizontal_acceleration__degraded,warm_ukf,prior,forward_acceleration,120,426.488930175205,48.34078872556,1531.62524255322,14.8498587926937,13.5029184819422,22.2999305563115
synthetic_canonical,degraded,horizontal_acceleration__degraded,synthetic_canonical::horizontal_acceleration__degraded,warm_ukf,posterior,constant_velocity,120,193.008076723727,45.1065951256024,184.075789487145,11.0181031979447,12.0189216830135,14.9430649203597
