modelID,split,groupDimension,groupName,weighting,sampleCount,eventCount,positionRMSEMeters,velocityRMSEMetersPerSecond,positionMedianErrorMeters,velocityMedianErrorMetersPerSecond,positionP95ErrorMeters,velocityP95ErrorMetersPerSecond
legacy_stage3a_v1,test,vertical_status,level,independent_event_weighted,29576,769,297.976120439825,4.79054408962027,31.7363217683144,0.476459781381174,611.350339114823,4.66070475766484
expanded_scratch_mean_v1,test,vertical_status,level,pair_weighted,29576,769,30.8223771802439,3.38670263875931,9.37013363131943,0.207581920267931,29.5139349359372,1.81957125132399
expanded_scratch_mean_v1,test,vertical_status,level,independent_event_weighted,29576,769,58.8708798790146,4.67381823453432,9.86760484573402,0.435211331692127,55.3324894947452,4.56991767401375
expanded_warm_mean_v1,test,vertical_status,level,pair_weighted,29576,769,29.9101205231559,3.39249213625677,9.48318152781896,0.172258743047096,28.5846142661245,1.80319841466887
expanded_warm_mean_v1,test,vertical_status,level,independent_event_weighted,29576,769,56.7660901177439,4.68490057498962,10.8019159543248,0.394590366829701,45.6066567123184,4.54846582694055
constvel,test,vertical_status,climb,pair_weighted,30741,557,22.9329909599857,4.59029978739066,6.27163171012462,0.26583725941982,19.7451363534417,2.55089070272096
constvel,test,vertical_status,climb,independent_event_weighted,30741,557,51.4183537857583,10.8874353516796,6.80275844029102,0.42361729813614,32.80066688162,5.03895325422336
legacy_stage3a_v1,test,vertical_status,climb,pair_weighted,30741,557,267.965080640966,4.7310037753837,51.8516793151012,0.447142131443286,343.691038691193,3.24196342199814
legacy_stage3a_v1,test,vertical_status,climb,independent_event_weighted,30741,557,429.162935977284,11.0892077805495,54.4351625560488,0.759509137445893,851.215079743412,6.8183491531129
expanded_scratch_mean_v1,test,vertical_status,climb,pair_weighted,30741,557,28.3436886116126,4.53718634465655,10.4044024556145,0.317975009007903,33.8683167541817,2.71731610679439
expanded_scratch_mean_v1,test,vertical_status,climb,independent_event_weighted,30741,557,59.8552160882236,10.8823058260498,11.565552902789,0.522113411000335,76.1867313374376,5.63172376622739
expanded_warm_mean_v1,test,vertical_status,climb,pair_weighted,30741,557,26.9942307252045,4.54997524556302,10.5284733497012,0.295072036223046,31.3635542546035,2.68070905872881
expanded_warm_mean_v1,test,vertical_status,climb,independent_event_weighted,30741,557,55.6284821722111,10.8280467476358,11.4818879751784,0.511631263437103,58.9923296140815,5.65765746898988
constvel,test,vertical_status,descent,pair_weighted,33207,488,19.6061593009004,2.02812020081763,6.22448786845769,0.179741149739436,19.149391203716,2.30737620471381
constvel,test,vertical_status,descent,independent_event_weighted,33207,488,48.2476340211632,4.83342733737389,6.35071138679302,0.372533298194547,35.5425890587867,5.72121084890293
legacy_stage3a_v1,test,vertical_status,descent,pair_weighted,33207,488,153.997551892148,2.03715973826972,17.7631091644864,0.225422996445861,173.873066660926,2.32278959763988
legacy_stage3a_v1,test,vertical_status,descent,independent_event_weighted,33207,488,288.102169151551,4.84089304282761,29.7701890564688,0.416365740808375,651.386855343787,5.75225694899337
expanded_scratch_mean_v1,test,vertical_status,descent,pair_weighted,33207,488,25.3345034051126,2.07507574032738,10.1374542971559,0.248561252007523,29.4808330387098,2.47019078609116
expanded_scratch_mean_v1,test,vertical_status,descent,independent_event_weighted,33207,488,52.5167013852787,4.83348364279753,11.3199913209382,0.470333825251265,68.2379700172313,6.34066139632974
expanded_warm_mean_v1,test,vertical_status,descent,pair_weighted,33207,488,25.5683717871165,2.04157691904543,9.85243886897023,0.230037601209754,27.4664558436666,2.41075443168121
expanded_warm_mean_v1,test,vertical_status,descent,independent_event_weighted,33207,488,57.0906653195184,4.80513748387529,11.9365699623601,0.422052057198778,69.541299436012,5.8866103518667
constvel,test,update_regime,regular_update,pair_weighted,90575,2768,9.4810733211344,2.73763281414285,5.88013230939677,0.164174656675342,17.8504767922218,1.90747567440315
constvel,test,update_regime,regular_update,independent_event_weighted,90575,2768,14.1709542239536,3.83569157619681,6.74366190821752,0.218270716745416,21.6172386126918,3.29808694625725
legacy_stage3a_v1,test,update_regime,regular_update,pair_weighted,90575,2768,83.9417611109969,2.76889638514139,29.2646748859633,0.289116750162161,168.635812424278,2.08962970104951
legacy_stage3a_v1,test,update_regime,regular_update,independent_event_weighted,90575,2768,151.119563036228,3.90578600209777,54.1051848032792,0.414918462730682,358.862916366576,3.65299580522985
expanded_scratch_mean_v1,test,update_regime,regular_update,pair_weighted,90575,2768,14.1672642044853,2.7353953246658,9.75684469442524,0.2502597235716,26.589515967682,1.91992974024591
