variantID,displayName,turnIntensity,accelerationIntensity,verticalStatus,updateInterval,pairCount,trackCount,aircraftCount,sessionCount,occupied
legacy_pre3day_v1,Legacy-16,>=3,0.1-0.5,climb,2-5,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,0.5-1,climb,2-5,17,9,8,6,1
legacy_pre3day_v1,Legacy-16,0.5-1,0.5-1,climb,2-5,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,0.5-1,climb,2-5,1,1,1,1,1
legacy_pre3day_v1,Legacy-16,>=3,0.5-1,climb,2-5,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,>=1,climb,2-5,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,0.5-1,>=1,climb,2-5,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,>=1,climb,2-5,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,>=3,>=1,climb,2-5,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,<0.1,descent,5-15,40,25,25,12,1
legacy_pre3day_v1,Legacy-16,0.5-1,<0.1,descent,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,<0.1,descent,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,>=3,<0.1,descent,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,0.1-0.5,descent,5-15,29,19,18,10,1
legacy_pre3day_v1,Legacy-16,0.5-1,0.1-0.5,descent,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,0.1-0.5,descent,5-15,3,3,3,3,1
legacy_pre3day_v1,Legacy-16,>=3,0.1-0.5,descent,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,0.5-1,descent,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,0.5-1,0.5-1,descent,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,0.5-1,descent,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,>=3,0.5-1,descent,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,>=1,descent,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,0.5-1,>=1,descent,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,>=1,descent,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,>=3,>=1,descent,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,<0.1,level,5-15,92,47,43,13,1
legacy_pre3day_v1,Legacy-16,0.5-1,<0.1,level,5-15,1,1,1,1,1
legacy_pre3day_v1,Legacy-16,1-3,<0.1,level,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,>=3,<0.1,level,5-15,1,1,1,1,1
legacy_pre3day_v1,Legacy-16,<0.5,0.1-0.5,level,5-15,16,11,11,6,1
legacy_pre3day_v1,Legacy-16,0.5-1,0.1-0.5,level,5-15,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,0.1-0.5,level,5-15,4,2,2,2,1
