domain,profile,comparisonFamily,modelID,weighting,caseID,targetReference,sampleCount,eventCount,positionRMSEMeters,positionMedianErrorMeters,positionP95ErrorMeters,velocityRMSEMetersPerSecond,velocityMedianErrorMetersPerSecond,velocityP95ErrorMetersPerSecond,referencePositionRMSEMeters,positionRMSEChangePercent,referenceVelocityRMSEMetersPerSecond,velocityRMSEChangePercent
synthetic_out_of_distribution,degraded,causal_history,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,18574,50,321.646960981447,77.4886948104856,278.099141084858,58.1890484888285,6.76632674650892,106.090868616973,47.4223586546177,578.260150078231,13.2851205628598,338.001659175779
synthetic_out_of_distribution,degraded,causal_history,constvel,pair_weighted,all,latent_kinematic_truth,18574,50,292.665818540985,59.1053396008356,181.389376784217,58.0326258867395,6.40734288419331,106.528456446938,3.31554029230004,8727.0928035671,13.2621611692002,337.580460276064
synthetic_out_of_distribution,degraded,causal_history,constacc,pair_weighted,all,latent_kinematic_truth,18574,50,305.225999848511,58.1352053611051,153.068962876983,57.7231135223224,7.95187137384019,68.0517790562334,0.890494259911975,34176.0210356305,3.5619770396479,1520.53581142759
synthetic_out_of_distribution,degraded,causal_history,constturn,pair_weighted,all,latent_kinematic_truth,18574,50,223.793424064347,57.2782460315357,131.026180869093,42.6957993966922,6.01572554141723,48.9467264446999,1.04915563625291,21230.8127346704,4.19500184489634,917.777845524339
real_adsb,baseline,same_information,expanded_warm_mean_v1,pair_weighted,all,next_retained_adsb_observation,93524,887,27.469077219258,9.95098480980998,29.2569741522989,3.45315587854865,0.232783340493397,2.32991836166863,27.469077219258,0,3.45315587854865,0
real_adsb,baseline,same_information,constvel,pair_weighted,all,next_retained_adsb_observation,93524,887,23.3028475335465,6.00390543504825,19.8956980406383,3.46727539825498,0.174698457107171,2.22256722451447,23.3028475335465,0,3.46727539825498,0
real_adsb,baseline,causal_history,expanded_warm_mean_v1,pair_weighted,all,next_retained_adsb_observation,92637,836,26.854334755323,9.92171969843455,28.8990653990165,3.4402354804192,0.231227312979731,2.2926326498154,26.854334755323,0,3.4402354804192,0
real_adsb,baseline,causal_history,constvel,pair_weighted,all,next_retained_adsb_observation,92637,836,22.7300820131981,5.9924423008281,19.6480166870817,3.45602244750232,0.173471886136885,2.19115799935724,22.7300820131981,0,3.45602244750232,0
real_adsb,baseline,causal_history,constacc,pair_weighted,all,next_retained_adsb_observation,92637,836,63.2366586038771,5.96922227933297,19.3222538253974,7.9533610831734,0.173494678769558,1.83536944315121,63.2366586038771,0,7.9533610831734,0
real_adsb,baseline,causal_history,constturn,pair_weighted,all,next_retained_adsb_observation,92637,836,16.0392496558375,5.97222502166003,19.4034417262807,3.24541434586224,0.180309722465748,1.82065698786092,16.0392496558375,0,3.24541434586224,0
