domain,profile,comparisonFamily,modelID,weighting,caseID,targetReference,sampleCount,eventCount,positionRMSEMeters,positionMedianErrorMeters,positionP95ErrorMeters,velocityRMSEMetersPerSecond,velocityMedianErrorMetersPerSecond,velocityP95ErrorMetersPerSecond
synthetic_in_distribution,degraded,same_information,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,36751,100,96.6042770399946,62.3255057881696,129.906802880626,11.3061801142622,3.59807726550072,16.5977549365289
synthetic_in_distribution,degraded,same_information,expanded_warm_mean_v1,independent_event_weighted,all,latent_kinematic_truth,36751,100,96.7459381101838,62.3557946651667,130.197808674267,11.3194522451487,3.59759436477126,16.656210948089
synthetic_in_distribution,degraded,same_information,constvel,pair_weighted,all,latent_kinematic_truth,36751,100,84.8151544382371,55.174188862614,110.158566069909,11.2448707154592,3.53799472949277,16.5663911052389
synthetic_in_distribution,degraded,same_information,constvel,independent_event_weighted,all,latent_kinematic_truth,36751,100,84.9324538064545,55.1918803384289,110.257671487572,11.25977003287,3.53782012387355,16.6143563364565
synthetic_in_distribution,degraded,causal_history,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,36651,100,96.6603418326079,62.3253085571905,129.995731342007,11.3151679348359,3.59807645683589,16.6051663985785
synthetic_in_distribution,degraded,causal_history,expanded_warm_mean_v1,independent_event_weighted,all,latent_kinematic_truth,36651,100,96.8026657236117,62.3523752719658,130.210466935495,11.3285338821748,3.59752672707314,16.6567895311516
synthetic_in_distribution,degraded,causal_history,constvel,pair_weighted,all,latent_kinematic_truth,36651,100,84.8665137251979,55.1808303624174,110.192377182505,11.2536198486426,3.53782012387355,16.5788751115251
synthetic_in_distribution,degraded,causal_history,constvel,independent_event_weighted,all,latent_kinematic_truth,36651,100,84.9840907202987,55.1980440814791,110.301951121345,11.2686033637581,3.53734887844057,16.6143563364565
synthetic_in_distribution,degraded,causal_history,constacc,pair_weighted,all,latent_kinematic_truth,36651,100,116.964324449702,56.6939568305133,125.331751738996,18.7198880620989,6.49694719958745,31.846595450182
synthetic_in_distribution,degraded,causal_history,constacc,independent_event_weighted,all,latent_kinematic_truth,36651,100,117.727162405146,56.7180285648957,125.755970832338,18.8092162716658,6.49740434844153,31.9585896143096
