domain,profile,comparisonFamily,comparatorModelID,eventCount,confidenceLevel,meanPositionRMSEDifferenceMeters,positionDifferenceLower,positionDifferenceUpper,meanVelocityRMSEDifferenceMetersPerSecond,velocityDifferenceLower,velocityDifferenceUpper
real_adsb,baseline,causal_history,constacc,836,0.95,6.04939241893695,-4.7076363931649,16.8064212310388,-0.42572813406018,-1.55406548754889,0.702609219428527
real_adsb,baseline,causal_history,constturn,836,0.95,13.8734563739825,11.5365189661835,16.2103937817816,0.652508666598975,0.423425332088378,0.881592001109571
real_adsb,random_dropout_10,same_information,constvel,887,0.95,11.5184396314707,10.4813561860348,12.5555230769066,0.197349198976229,0.148017442589472,0.246680955362986
real_adsb,random_dropout_10,causal_history,constvel,831,0.95,11.0751956548313,10.0213278169637,12.129063492699,0.157239384479392,0.105933506748735,0.208545262210048
real_adsb,random_dropout_10,causal_history,constacc,831,0.95,8.98860346932375,0.863780080110526,17.113426858537,-0.0687252073506852,-0.81979393619996,0.68234352149859
real_adsb,random_dropout_10,causal_history,constturn,831,0.95,14.642563600614,12.2883495620765,16.9967776391516,0.632409088664251,0.421561920569177,0.843256256759325
real_adsb,random_dropout_25,same_information,constvel,887,0.95,13.1277575742158,11.9107125085736,14.3448026398581,0.23439509213365,0.177858560343937,0.290931623923362
real_adsb,random_dropout_25,causal_history,constvel,817,0.95,12.3339092151351,11.1322826198846,13.5355358103855,0.182572800846675,0.124828573338092,0.240317028355259
real_adsb,random_dropout_25,causal_history,constacc,817,0.95,6.25032581966168,-9.34914072818914,21.8497923675125,-0.547581545250578,-2.09750722921797,1.00234413871681
real_adsb,random_dropout_25,causal_history,constturn,817,0.95,16.6853790195094,13.8340290813224,19.5367289576965,0.698329230956044,0.448660473671345,0.947997988240743
real_adsb,burst_outage,same_information,constvel,887,0.95,14.7647961540445,13.2278510459862,16.3017412621027,0.282677245241024,0.211258193252142,0.354096297229906
real_adsb,burst_outage,causal_history,constvel,784,0.95,13.5604231163047,12.0972560728933,15.0235901597162,0.225695642252726,0.156499499721175,0.294891784784277
real_adsb,burst_outage,causal_history,constacc,784,0.95,-0.811946072667544,-11.144634873387,9.52074272805194,-0.504540134965008,-1.16614480345383,0.157064533523813
real_adsb,burst_outage,causal_history,constturn,784,0.95,11.6490143821126,4.7914162510074,18.5066125132179,0.531909715231653,0.207212461710756,0.856606968752551
